id,nom_voie,id_fantoir,numero,rep,code_insee,code_post,alias,nom_ld,x,y,commune,fant_voie,fant_ld,lat,lon
ADRNIVX_0000000270761437,Rue Amelot,0272,126,"",75111,75011,"","",653549.3,6862884.7,Paris 11e Arrondissement,75111_0272E,,48.864318,2.366830
ADRNIVX_0000000270761438,Rue Amelot,0272,127,"",75111,75011,"","",653547.5,6862854.6,Paris 11e Arrondissement,75111_0272E,,48.864047,2.366808
ADRNIVX_0000000270760552,Rue Amelot,0272,128,"",75111,75011,"","",653545.3,6862903.2,Paris 11e Arrondissement,75111_0272E,,48.864484,2.366773
ADRNIVX_0000000270761439,Rue Amelot,0272,129,"",75111,75011,"","",653544.2,6862867.9,Paris 11e Arrondissement,75111_0272E,,48.864166,2.366762
ADRNIVX_0000000270776645,Rue Amelot,0272,13,"",75111,75011,"","",653718.4,6861895.2,Paris 11e Arrondissement,75111_0272E,,48.855431,2.369242
ADRNIVX_0000000330306550,Rue Amelot,0272,130,"",75111,75011,"","",653541.5,6862917.5,Paris 11e Arrondissement,75111_0272E,,48.864612,2.366720
ADRNIVX_0000000270761440,Rue Amelot,0272,131,"",75111,75011,"","",653540.9,6862881.2,Paris 11e Arrondissement,75111_0272E,,48.864286,2.366716
ADRNIVX_0000000270760554,Rue Amelot,0272,132,"",75111,75011,"","",653538.5,6862929.1,Paris 11e Arrondissement,75111_0272E,,48.864716,2.366678
ADRNIVX_0000000270760555,Rue Amelot,0272,133,"",75111,75011,"","",653533.8,6862898.7,Paris 11e Arrondissement,75111_0272E,,48.864443,2.366617
ADRNIVX_0000000270760556,Rue Amelot,0272,134,"",75111,75011,"","",653535.9,6862937.9,Paris 11e Arrondissement,75111_0272E,,48.864795,2.366641
ADRNIVX_0000000270759668,Rue Amelot,0272,136,"",75111,75011,"","",653534.6,6862962.2,Paris 11e Arrondissement,75111_0272E,,48.865014,2.366621
ADRNIVX_0000000270760557,Rue Amelot,0272,137,"",75111,75011,"","",653530.9,6862921.1,Paris 11e Arrondissement,75111_0272E,,48.864644,2.366575
ADRNIVX_0000000270759669,Rue Amelot,0272,138,"",75111,75011,"","",653526.3,6862977.1,Paris 11e Arrondissement,75111_0272E,,48.865147,2.366506
ADRNIVX_0000000270774893,Rue Amelot,0272,14,"",75111,75011,"","",653714.6,6861993.9,Paris 11e Arrondissement,75111_0272E,,48.856319,2.369180
ADRNIVX_0000000270759670,Rue Amelot,0272,140,"",75111,75011,"","",653522.3,6862992.3,Paris 11e Arrondissement,75111_0272E,,48.865283,2.366450
ADRNIVX_0000000270759671,Rue Amelot,0272,141,"",75111,75011,"","",653523.2,6862951.8,Paris 11e Arrondissement,75111_0272E,,48.864919,2.366467
ADRNIVX_0000000270758737,Rue Amelot,0272,142,"",75111,75011,"","",653519.1,6863001.9,Paris 11e Arrondissement,75111_0272E,,48.865370,2.366405
ADRNIVX_0000000270759672,Rue Amelot,0272,143,"",75111,75011,"","",653516.4,6862966.3,Paris 11e Arrondissement,75111_0272E,,48.865049,2.366372
ADRNIVX_0000000270759673,Rue Amelot,0272,145,"",75111,75011,"","",653516.3,6862977.9,Paris 11e Arrondissement,75111_0272E,,48.865153,2.366370
ADRNIVX_0000000270758738,Rue Amelot,0272,146,"",75111,75011,"","",653509.6,6863039.1,Paris 11e Arrondissement,75111_0272E,,48.865703,2.366272
ADRNIVX_0000000270759674,Rue Amelot,0272,147,"",75111,75011,"","",653512.8,6862991,Paris 11e Arrondissement,75111_0272E,,48.865271,2.366320
ADRNIVX_0000000270757729,Rue Amelot,0272,148,"",75111,75011,"","",653504.8,6863062.4,Paris 11e Arrondissement,75111_0272E,,48.865913,2.366204
ADRNIVX_0000000270758739,Rue Amelot,0272,149,"",75111,75011,"","",653509.3,6863004.1,Paris 11e Arrondissement,75111_0272E,,48.865389,2.366271
ADRNIVX_0000000270776646,Rue Amelot,0272,15,"",75111,75011,"","",653717.1,6861913.7,Paris 11e Arrondissement,75111_0272E,,48.855598,2.369223
ADRNIVX_0000000270758740,Rue Amelot,0272,151,"",75111,75011,"","",653507.2,6863012.7,Paris 11e Arrondissement,75111_0272E,,48.865466,2.366242
ADRNIVX_0000000270758742,Rue Amelot,0272,153,"",75111,75011,"","",653500.4,6863025,Paris 11e Arrondissement,75111_0272E,,48.865576,2.366148
ADRNIVX_0000000270758743,Rue Amelot,0272,155,"",75111,75011,"","",653498.9,6863033.8,Paris 11e Arrondissement,75111_0272E,,48.865655,2.366126
ADRNIVX_0000000270758744,Rue Amelot,0272,157,"",75111,75011,"","",653498.3,6863048.8,Paris 11e Arrondissement,75111_0272E,,48.865790,2.366117
ADRNIVX_0000000270757733,Rue Amelot,0272,159,"",75111,75011,"","",653491.7,6863057.5,Paris 11e Arrondissement,75111_0272E,,48.865868,2.366026
ADRNIVX_0000000270774894,Rue Amelot,0272,16,"",75111,75011,"","",653708.4,6862011.2,Paris 11e Arrondissement,75111_0272E,,48.856474,2.369093
ADRNIVX_0000000270757734,Rue Amelot,0272,161,"",75111,75011,"","",653489.5,6863066,Paris 11e Arrondissement,75111_0272E,,48.865944,2.365995
ADRNIVX_0000000270757735,Rue Amelot,0272,163,"",75111,75011,"","",653487.5,6863073.5,Paris 11e Arrondissement,75111_0272E,,48.866011,2.365967
ADRNIVX_0000000270775767,Rue Amelot,0272,17,"",75111,75011,"","",653714.7,6861926.8,Paris 11e Arrondissement,75111_0272E,,48.855715,2.369188
ADRNIVX_0000000270774895,Rue Amelot,0272,18,"",75111,75011,"","",653705.4,6862028.8,Paris 11e Arrondissement,75111_0272E,,48.856632,2.369051
ADRNIVX_0000000270775768,Rue Amelot,0272,19,"",75111,75011,"","",653712.2,6861939.9,Paris 11e Arrondissement,75111_0272E,,48.855833,2.369153
ADRNIVX_0000000270776640,Rue Amelot,0272,2,"",75111,75011,"","",653736.2,6861872.2,Paris 11e Arrondissement,75111_0272E,,48.855226,2.369487
ADRNIVX_0000000270775769,Rue Amelot,0272,23,"",75111,75011,"","",653707.1,6861968.8,Paris 11e Arrondissement,75111_0272E,,48.856092,2.369080
ADRNIVX_0000000270774000,Rue Amelot,0272,24,"",75111,75011,"","",653701.3,6862068.5,Paris 11e Arrondissement,75111_0272E,,48.856989,2.368990
ADRNIVX_0000000270774896,Rue Amelot,0272,25,"",75111,75011,"","",653705,6861980.1,Paris 11e Arrondissement,75111_0272E,,48.856194,2.369050
ADRNIVX_0000000270773143,Rue Amelot,0272,26,"",75111,75011,"","",653689.8,6862121.2,Paris 11e Arrondissement,75111_0272E,,48.857462,2.368828
ADRNIVX_0000000270772286,Rue Amelot,0272,26,BIS,75111,75011,"","",653689.5,6862131.9,Paris 11e Arrondissement,75111_0272E,,48.857558,2.368823
ADRNIVX_0000000270774897,Rue Amelot,0272,27,"",75111,75011,"","",653700.5,6861993.8,Paris 11e Arrondissement,75111_0272E,,48.856317,2.368988
ADRNIVX_0000000270772287,Rue Amelot,0272,28,"",75111,75011,"","",653688.4,6862141.5,Paris 11e Arrondissement,75111_0272E,,48.857644,2.368807
ADRNIVX_0000000270774898,Rue Amelot,0272,29,"",75111,75011,"","",653700.9,6862002.8,Paris 11e Arrondissement,75111_0272E,,48.856398,2.368992
ADRNIVX_0000000270777617,Rue Amelot,0272,3,"",75111,75011,"","",653731.6,6861835.2,Paris 11e Arrondissement,75111_0272E,,48.854893,2.369429
ADRNIVX_0000000270772288,Rue Amelot,0272,30,"",75111,75011,"","",653683.8,6862156.7,Paris 11e Arrondissement,75111_0272E,,48.857781,2.368742
ADRNIVX_0000000331928024,Rue Amelot,0272,31,BIS,75111,75011,"","",653695.7,6862032.9,Paris 11e Arrondissement,75111_0272E,,48.856668,2.368918
ADRNIVX_0000000270774899,Rue Amelot,0272,31,"",75111,75011,"","",653698.8,6862014.2,Paris 11e Arrondissement,75111_0272E,,48.856500,2.368962
ADRNIVX_0000000270772289,Rue Amelot,0272,32,"",75111,75011,"","",653682.7,6862173.9,Paris 11e Arrondissement,75111_0272E,,48.857935,2.368725
ADRNIVX_0000000270774001,Rue Amelot,0272,33,"",75111,75011,"","",653694,6862042.9,Paris 11e Arrondissement,75111_0272E,,48.856758,2.368894
